Found 570 ships
13 BEAUFORT (41 positions)
<49.45509°N 2.534513°W @ 2013-10-01T08:30:00
<49.45506°N 2.534527°W @ 2013-10-01T08:49:00
<49.45506°N 2.53447°W @ 2013-10-01T08:58:00
<49.45508°N 2.534492°W @ 2013-10-01T09:07:00
<49.45509°N 2.534543°W @ 2013-10-01T09:19:00
<49.45509°N 2.5345°W @ 2013-10-01T09:28:00
<49.45508°N 2.534437°W @ 2013-10-01T09:51:00
<49.45507°N 2.534442°W @ 2013-10-01T10:18:00
<49.45504°N 2.534438°W @ 2013-10-01T10:27:00
<49.45509°N 2.534452°W @ 2013-10-01T10:45:00
<49.45508°N 2.534432°W @ 2013-10-01T10:54:00
<49.45506°N 2.534428°W @ 2013-10-01T11:03:00
<49.45504°N 2.534435°W @ 2013-10-01T11:12:00
<49.45506°N 2.53443°W @ 2013-10-01T11:21:00
<49.45504°N 2.53447°W @ 2013-10-01T11:30:00
<49.45508°N 2.534438°W @ 2013-10-01T11:48:00
<49.45504°N 2.534438°W @ 2013-10-01T11:57:00
<49.45507°N 2.534458°W @ 2013-10-01T12:06:00
<49.45505°N 2.534433°W @ 2013-10-01T12:21:00
<49.45503°N 2.534452°W @ 2013-10-01T12:30:00
<49.45502°N 2.534443°W @ 2013-10-01T12:45:00
<49.45503°N 2.534472°W @ 2013-10-01T12:54:00
<49.45504°N 2.534457°W @ 2013-10-01T13:03:00
<49.45503°N 2.534445°W @ 2013-10-01T13:24:00
<49.45477°N 2.531402°W @ 2013-10-01T13:38:00
<49.41251°N 2.530115°W @ 2013-10-01T14:37:00
<49.39411°N 2.564958°W @ 2013-10-01T14:57:00
<49.3711°N 2.612183°W @ 2013-10-01T15:22:00
<49.35369°N 2.645162°W @ 2013-10-01T15:38:00
<49.34399°N 2.665378°W @ 2013-10-01T15:47:00
<49.26278°N 2.874582°W @ 2013-10-01T17:17:00
<49.25821°N 2.888357°W @ 2013-10-01T17:23:00
<49.23798°N 2.947907°W @ 2013-10-01T17:46:00
<49.23251°N 2.972732°W @ 2013-10-01T17:55:00
<49.19557°N 3.086927°W @ 2013-10-01T18:39:00
<49.18841°N 3.112188°W @ 2013-10-01T18:48:00
<49.18008°N 3.140533°W @ 2013-10-01T18:59:00
<49.17272°N 3.164662°W @ 2013-10-01T19:09:00
<49.16916°N 3.175813°W @ 2013-10-01T19:14:00
<49.16279°N 3.197867°W @ 2013-10-01T19:25:00
<49.15845°N 3.221547°W @ 2013-10-01T19:36:00
ABEILLE BOURBON (110 positions)
<48.37972°N 4.485589°W @ 2013-09-30T21:51:00
<48.37971°N 4.485603°W @ 2013-09-30T22:09:00
<48.3797°N 4.4856°W @ 2013-09-30T22:27:00
<48.3797°N 4.485585°W @ 2013-09-30T22:36:00
<48.37971°N 4.485587°W @ 2013-09-30T22:45:00
<48.37971°N 4.485559°W @ 2013-09-30T22:54:00
<48.37971°N 4.485579°W @ 2013-09-30T23:03:00
<48.37975°N 4.485582°W @ 2013-09-30T23:12:00
<48.3797°N 4.485592°W @ 2013-09-30T23:21:00
<48.3797°N 4.485597°W @ 2013-09-30T23:39:00
<48.37967°N 4.48555°W @ 2013-09-30T23:48:00
<48.37969°N 4.485582°W @ 2013-09-30T23:57:00
<48.37971°N 4.485559°W @ 2013-10-01T00:06:00
<48.3797°N 4.485615°W @ 2013-10-01T00:15:00
<48.37971°N 4.485583°W @ 2013-10-01T00:24:00
<48.37969°N 4.485582°W @ 2013-10-01T00:33:00
<48.3797°N 4.485579°W @ 2013-10-01T00:42:00
<48.37969°N 4.485592°W @ 2013-10-01T00:51:00
<48.3797°N 4.485603°W @ 2013-10-01T01:00:00
<48.3797°N 4.485573°W @ 2013-10-01T01:18:00
<48.37971°N 4.485611°W @ 2013-10-01T01:27:00
<48.37969°N 4.485585°W @ 2013-10-01T01:36:00
<48.37969°N 4.485592°W @ 2013-10-01T01:45:00
<48.37971°N 4.485559°W @ 2013-10-01T01:54:00
<48.37969°N 4.485585°W @ 2013-10-01T02:03:00
<48.37969°N 4.485603°W @ 2013-10-01T02:12:00
<48.37968°N 4.48558°W @ 2013-10-01T02:21:00
<48.37969°N 4.485555°W @ 2013-10-01T02:30:00
<48.37969°N 4.48558°W @ 2013-10-01T02:48:00
<48.37968°N 4.485599°W @ 2013-10-01T02:57:00
<48.37969°N 4.485595°W @ 2013-10-01T03:06:00
<48.37969°N 4.485585°W @ 2013-10-01T03:15:00
<48.37967°N 4.48558°W @ 2013-10-01T03:24:00
<48.3797°N 4.485595°W @ 2013-10-01T03:33:00
<48.37967°N 4.485573°W @ 2013-10-01T03:42:00
<48.37968°N 4.485582°W @ 2013-10-01T03:51:00
<48.37971°N 4.485552°W @ 2013-10-01T04:09:00
<48.3797°N 4.48553°W @ 2013-10-01T04:18:00
<48.3797°N 4.485565°W @ 2013-10-01T04:27:00
<48.37971°N 4.48558°W @ 2013-10-01T04:36:00
<48.37969°N 4.485592°W @ 2013-10-01T04:45:00
<48.37968°N 4.4856°W @ 2013-10-01T04:54:00
<48.37969°N 4.48558°W @ 2013-10-01T05:21:00
<48.37969°N 4.485603°W @ 2013-10-01T05:30:00
<48.37969°N 4.485617°W @ 2013-10-01T06:06:00
<48.37969°N 4.48564°W @ 2013-10-01T06:15:00
